rownames,UP0042_CTRL,UR16_2319_HP160021451_A,UP0042HHT1,UP0042_HHE1.combined,UP0042_HHE3.combined
1:1-500000,,,,,
1:500001-1000000,,,,,
1:1000001-1500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:1500001-2000000,,,,,
1:2000001-2500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:2500001-3000000,,,,,
1:3000001-3500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:3500001-4000000,,,,,
1:4000001-4500000,,,,,
1:4500001-5000000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:5000001-5500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:5500001-6000000,,,,,
1:6000001-6500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:6500001-7000000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:7000001-7500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:7500001-8000000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:8000001-8500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:8500001-9000000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:9000001-9500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:9500001-10000000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:10000001-10500000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:10500001-11000000,1.0059643414620492,1.1559434595871771,1.314551654908093,1.0131018127928875,1.004077642626237
1:11000001-11500000,1.0059643414620492,1.1559434595871771,0.9155882371277234,1.0131018127928875,1.004077642626237
1:11500001-12000000,1.0059643414620492,1.1559434595871771,0.9155882371277234,1.0131018127928875,1.004077642626237
1:12000001-12500000,1.0059643414620492,1.1559434595871771,0.9155882371277234,1.0131018127928875,1.004077642626237
