rownames,UR16_2319_HP160021451_A,UP0042HHT1
1:1000001-1500000,,
1:2000001-2500000,,
1:3000001-3500000,,
1:4500001-5000000,,
1:5000001-5500000,,
1:6000001-6500000,,
1:6500001-7000000,,
1:7000001-7500000,,
1:7500001-8000000,,
1:8000001-8500000,,
1:8500001-9000000,,
1:9000001-9500000,,
1:9500001-10000000,,
1:10000001-10500000,,
1:10500001-11000000,,
1:11000001-11500000,,
1:11500001-12000000,,
1:12000001-12500000,,
1:14000001-14500000,,
1:14500001-15000000,,
1:15000001-15500000,,
1:15500001-16000000,,
1:18000001-18500000,2.472704269578885,2.5128063673627277
1:18500001-19000000,2.472704269578885,2.5128063673627277
1:19000001-19500000,2.472704269578885,2.5128063673627277
1:19500001-20000000,2.472704269578885,2.5128063673627277
1:20000001-20500000,2.472704269578885,2.5128063673627277
1:20500001-21000000,2.472704269578885,2.5128063673627277
1:21000001-21500000,2.472704269578885,2.5128063673627277
1:21500001-22000000,2.472704269578885,2.5128063673627277
1:22000001-22500000,2.472704269578885,2.5128063673627277
1:23000001-23500000,2.472704269578885,2.5128063673627277
1:23500001-24000000,2.472704269578885,2.5128063673627277
1:24500001-25000000,2.472704269578885,2.5128063673627277
1:26000001-26500000,2.472704269578885,2.5128063673627277
1:26500001-27000000,2.472704269578885,2.5128063673627277
1:27000001-27500000,2.472704269578885,2.5128063673627277
1:27500001-28000000,2.472704269578885,2.5128063673627277
1:29000001-29500000,2.472704269578885,2.5128063673627277
1:29500001-30000000,2.472704269578885,2.5128063673627277
1:30000001-30500000,2.472704269578885,2.5128063673627277
1:31500001-32000000,3.1956811539244354,3.19273325064652
1:32000001-32500000,3.1956811539244354,3.19273325064652
1:33000001-33500000,3.1956811539244354,3.19273325064652
1:33500001-34000000,3.1956811539244354,3.19273325064652
1:34000001-34500000,3.1956811539244354,3.19273325064652
1:34500001-35000000,3.1956811539244354,3.19273325064652
1:35000001-35500000,3.1956811539244354,3.19273325064652
1:35500001-36000000,3.1956811539244354,3.19273325064652
1:36000001-36500000,3.1956811539244354,3.19273325064652
1:36500001-37000000,3.1956811539244354,3.19273325064652
1:37500001-38000000,3.1956811539244354,3.19273325064652
1:38500001-39000000,3.1956811539244354,3.19273325064652
1:39500001-40000000,3.1956811539244354,3.19273325064652
1:40000001-40500000,3.1956811539244354,3.19273325064652
1:40500001-41000000,3.1956811539244354,3.19273325064652
1:41000001-41500000,3.1956811539244354,3.19273325064652
1:41500001-42000000,3.1956811539244354,3.19273325064652
1:42000001-42500000,3.1956811539244354,3.19273325064652
1:43500001-44000000,3.1956811539244354,3.19273325064652
1:44000001-44500000,3.1956811539244354,3.19273325064652
1:44500001-45000000,3.1956811539244354,3.19273325064652
1:45000001-45500000,3.1956811539244354,3.19273325064652
1:45500001-46000000,3.1956811539244354,3.19273325064652
1:46000001-46500000,3.1956811539244354,3.19273325064652
1:47000001-47500000,3.1956811539244354,3.19273325064652
1:47500001-48000000,3.1956811539244354,3.19273325064652
1:48000001-48500000,3.1956811539244354,3.19273325064652
1:48500001-49000000,3.1956811539244354,3.19273325064652
1:49000001-49500000,3.1956811539244354,3.19273325064652
1:49500001-50000000,3.1956811539244354,3.19273325064652
1:50000001-50500000,3.1956811539244354,3.19273325064652
1:50500001-51000000,3.1956811539244354,3.19273325064652
1:51000001-51500000,3.1956811539244354,3.19273325064652
1:51500001-52000000,3.1956811539244354,3.19273325064652
1:52000001-52500000,3.1956811539244354,3.19273325064652
1:52500001-53000000,3.1956811539244354,3.19273325064652
1:53000001-53500000,3.1956811539244354,3.19273325064652
1:53500001-54000000,3.1956811539244354,3.19273325064652
1:54000001-54500000,3.1956811539244354,3.19273325064652
1:54500001-55000000,3.1956811539244354,3.19273325064652
1:55000001-55500000,3.1956811539244354,3.19273325064652
1:55500001-56000000,3.1956811539244354,3.19273325064652
1:56000001-56500000,3.1956811539244354,3.19273325064652
1:56500001-57000000,3.1956811539244354,3.19273325064652
1:57000001-57500000,3.1956811539244354,3.19273325064652
1:57500001-58000000,3.1956811539244354,3.19273325064652
1:58500001-59000000,,
1:59000001-59500000,,
1:59500001-60000000,,
1:60000001-60500000,,
1:60500001-61000000,,
1:61000001-61500000,,
1:61500001-62000000,,
1:62000001-62500000,,
1:62500001-63000000,,
1:63000001-63500000,5.269212783572525,5.186307232434105
1:63500001-64000000,5.269212783572525,5.186307232434105
1:64000001-64500000,5.269212783572525,5.186307232434105
1:64500001-65000000,5.269212783572525,5.186307232434105
1:65000001-65500000,5.269212783572525,5.186307232434105
1:66000001-66500000,5.269212783572525,5.186307232434105
1:67000001-67500000,5.269212783572525,5.186307232434105
1:67500001-68000000,5.269212783572525,5.186307232434105
1:68500001-69000000,5.269212783572525,5.186307232434105
1:69000001-69500000,5.269212783572525,5.186307232434105
1:69500001-70000000,5.269212783572525,5.186307232434105
1:70000001-70500000,5.269212783572525,5.186307232434105
1:70500001-71000000,5.269212783572525,5.186307232434105
1:71000001-71500000,5.269212783572525,5.186307232434105
1:71500001-72000000,5.269212783572525,5.186307232434105
1:72000001-72500000,5.269212783572525,5.186307232434105
1:72500001-73000000,5.269212783572525,5.186307232434105
1:73000001-73500000,5.269212783572525,5.186307232434105
1:73500001-74000000,5.269212783572525,5.186307232434105
1:74000001-74500000,5.269212783572525,5.186307232434105
1:74500001-75000000,5.269212783572525,5.186307232434105
1:75000001-75500000,5.269212783572525,5.186307232434105
1:75500001-76000000,5.269212783572525,5.186307232434105
1:76500001-77000000,5.269212783572525,5.186307232434105
1:77000001-77500000,5.269212783572525,5.186307232434105
1:77500001-78000000,5.269212783572525,5.186307232434105
1:78000001-78500000,5.269212783572525,5.186307232434105
1:78500001-79000000,,
1:79000001-79500000,,
1:79500001-80000000,,
1:80000001-80500000,,
1:80500001-81000000,,
1:81000001-81500000,,
1:81500001-82000000,,
1:82000001-82500000,,
1:83000001-83500000,3.115058723671676,3.1207957330109535
1:84000001-84500000,3.115058723671676,3.1207957330109535
1:84500001-85000000,3.115058723671676,3.1207957330109535
1:85000001-85500000,3.115058723671676,3.1207957330109535
1:85500001-86000000,3.115058723671676,3.1207957330109535
1:86000001-86500000,3.115058723671676,3.1207957330109535
1:86500001-87000000,3.115058723671676,3.1207957330109535
1:87000001-87500000,3.115058723671676,3.1207957330109535
1:87500001-88000000,3.115058723671676,3.1207957330109535
1:88000001-88500000,3.115058723671676,3.1207957330109535
1:88500001-89000000,3.115058723671676,3.1207957330109535
1:89000001-89500000,3.115058723671676,3.1207957330109535
1:89500001-90000000,3.115058723671676,3.1207957330109535
1:90000001-90500000,3.115058723671676,3.1207957330109535
1:90500001-91000000,3.115058723671676,3.1207957330109535
1:91000001-91500000,3.115058723671676,3.1207957330109535
1:92000001-92500000,3.115058723671676,3.1207957330109535
1:93000001-93500000,3.115058723671676,3.1207957330109535
1:93500001-94000000,3.115058723671676,3.1207957330109535
1:94000001-94500000,3.115058723671676,3.1207957330109535
1:94500001-95000000,3.115058723671676,3.1207957330109535
1:95000001-95500000,3.115058723671676,3.1207957330109535
1:95500001-96000000,3.115058723671676,3.1207957330109535
1:96000001-96500000,3.115058723671676,3.1207957330109535
1:96500001-97000000,3.115058723671676,3.1207957330109535
1:97000001-97500000,3.115058723671676,3.1207957330109535
1:97500001-98000000,3.115058723671676,3.1207957330109535
1:98000001-98500000,3.115058723671676,3.1207957330109535
1:98500001-99000000,3.115058723671676,3.1207957330109535
1:99000001-99500000,3.115058723671676,3.1207957330109535
1:99500001-100000000,3.115058723671676,3.1207957330109535
1:100500001-101000000,3.115058723671676,3.1207957330109535
1:101000001-101500000,3.115058723671676,3.1207957330109535
1:101500001-102000000,3.115058723671676,3.1207957330109535
1:102500001-103000000,3.115058723671676,3.1207957330109535
1:104500001-105000000,4.58945761216277,4.504953122778675
1:105000001-105500000,4.58945761216277,4.504953122778675
1:105500001-106000000,4.58945761216277,4.504953122778675
1:106000001-106500000,4.58945761216277,4.504953122778675
1:106500001-107000000,4.58945761216277,4.504953122778675
1:107000001-107500000,4.58945761216277,4.504953122778675
1:107500001-108000000,4.58945761216277,4.504953122778675
1:109000001-109500000,4.58945761216277,4.504953122778675
1:110000001-110500000,4.58945761216277,4.504953122778675
1:111000001-111500000,4.58945761216277,4.504953122778675
1:111500001-112000000,4.58945761216277,4.504953122778675
1:112000001-112500000,4.58945761216277,4.504953122778675
1:112500001-113000000,4.58945761216277,4.504953122778675
1:113000001-113500000,4.58945761216277,4.504953122778675
1:113500001-114000000,4.58945761216277,4.504953122778675
1:114000001-114500000,4.58945761216277,4.504953122778675
1:114500001-115000000,4.58945761216277,4.504953122778675
1:115000001-115500000,4.58945761216277,4.504953122778675
1:115500001-116000000,4.58945761216277,4.504953122778675
1:116000001-116500000,,
1:116500001-117000000,,
1:117000001-117500000,,
1:117500001-118000000,,
1:118000001-118500000,,
1:118500001-119000000,,
1:119000001-119500000,,
1:119500001-120000000,,
1:120000001-120500000,,
1:146500001-147000000,,
1:150500001-151000000,,
1:151000001-151500000,,
1:151500001-152000000,,
1:152000001-152500000,,
1:152500001-153000000,,
1:153000001-153500000,,
1:153500001-154000000,,
1:154000001-154500000,,
1:154500001-155000000,,
1:155000001-155500000,,
1:156500001-157000000,,
1:157500001-158000000,,
1:158000001-158500000,,
1:158500001-159000000,,
1:159000001-159500000,,
