rownames,UP0053_CTRL,UH18_7946,UP0053_HHE1.combined,UP0053_HHE3.combined
1:1-500000,,,,
1:500001-1000000,,,,
1:1000001-1500000,0.9934025403301838,1.0647733713768965,1.0664657339994519,1.0570893397979062
1:1500001-2000000,,,,
1:2000001-2500000,0.984445345038908,1.0693689763762468,0.9486721644348004,0.9923836125449885
1:2500001-3000000,,,,
1:3000001-3500000,1.0109630375434517,0.9925302777562532,0.9935813173949278,0.9963942791369425
1:3500001-4000000,,,,
1:4000001-4500000,,,,
1:4500001-5000000,0.9562276188370813,0.9401336532483575,0.9261157799500812,0.9038643828307626
1:5000001-5500000,1.0426664492388311,0.9172015132285375,0.9162012580455804,0.9441542238991292
1:5500001-6000000,,,,
1:6000001-6500000,1.0243983977482174,1.1838597282087049,1.1510295525004484,1.0633514123102712
1:6500001-7000000,0.9841966333010894,1.0231865731363408,0.9972572091426484,0.9394345200882394
1:7000001-7500000,1.0074320436659445,1.0068207606994686,1.0259438642611745,0.9821047037993066
1:7500001-8000000,1.0327297642012112,0.9762171208547593,0.9844442172916158,0.9606070365868621
1:8000001-8500000,1.0099085550973839,1.067553565082014,0.9642725561900425,1.0164044554822729
1:8500001-9000000,0.9896645333977894,1.2778083218934824,1.117693312820455,1.1259334684194344
1:9000001-9500000,0.9595431448974902,1.1351963289720026,1.0755116270624547,1.0495247722800882
1:9500001-10000000,1.066104336223688,1.0691704279110874,0.9943681686951809,1.1092455934609866
1:10000001-10500000,1.0400249968571473,1.2029444782045193,1.0811975753889673,1.0600312800169611
1:10500001-11000000,1.0557849002379767,1.0567440551992506,1.0163309887891812,0.9764813293995538
1:11000001-11500000,1.0467319998625464,0.9464599978408912,1.0279115955488558,1.0302282138390058
1:11500001-12000000,1.0334716840190785,1.0192499982083734,0.9783593818945806,1.055337866449013
1:12000001-12500000,0.9813673266239012,1.0293348561786602,1.0250920587140677,0.972099056505275
1:12500001-13000000,,,,
1:13000001-13500000,,,,
1:13500001-14000000,,,,
1:14000001-14500000,0.9641543124261205,1.009114099901788,0.987747364480609,0.9799606263074624
1:14500001-15000000,1.0177268116098668,0.96515911796297,0.9885849224774262,1.014569830670385
