,UP0018_HHE1.combined,UP0018HHT2,H4774_15_B1,id,filtered,order,chrom,genStart,genEnd,SD
0,0.2087939397095364,0.28086571271924043,0.0,1,False,False,1,1000001.0,34000000.0,0.14587368868618192
1,0.1619420534199385,-0.06243145512780801,0.0,2,False,False,1,36000001.0,77500000.0,0.11580615023482661
2,-0.03251016241186799,-0.05918108305836678,0.0,3,False,False,1,78500001.0,120500000.0,0.029638514526820158
3,0.24625086544983565,-0.014803480902370936,0.0,4,False,False,1,146500001.0,176500000.0,0.14663333155129826
4,0.11982690038608146,-0.06612963965047869,0.0,5,False,False,1,178500001.0,202500000.0,0.09426155992662726
5,0.3216222151930679,0.2797004122606346,0.0,6,False,False,1,211000001.0,228500000.0,0.17484784217788277
6,0.07566130301927632,0.21966810142557924,0.0,7,False,False,1,228500001.0,242000000.0,0.11159201401065616
7,0.15866041327548075,0.5448880206693567,0.0,8,True,False,2,9000001.0,18500000.0,0.28025222167508135
8,-0.5574138764718167,-0.4442828632784305,0.0,9,True,True,2,19000001.0,32000000.0,0.2946455832669651
9,0.7646938847484415,0.5370687212873944,0.0,10,True,True,2,36500001.0,64000000.0,0.39264334193548733
10,-0.22963069373541245,-0.43579522867202214,0.0,11,False,False,2,64000001.0,74000000.0,0.21800288694737333
11,0.033617528811314745,-0.008828453526219082,0.0,12,False,False,2,74000001.0,243000000.0,0.02239695385404907
12,0.9050005568838745,0.9180481830540946,0.0,13,False,False,3,1.0,42500000.0,0.5263092745584934
13,-0.007055000019808855,-0.05379220982348798,0.0,14,False,False,3,42500001.0,67000000.0,0.029233946144869495
14,0.09205507811837288,0.0038501198318243723,0.0,15,False,False,3,68000001.0,197500000.0,0.0520721862680883
15,-0.060545978205944095,0.026200043162051045,0.0,16,False,False,4,500001.0,82500000.0,0.04449181565521286
16,-0.01700826499112318,-0.0459550390092468,0.0,17,False,False,4,82500001.0,175500000.0,0.02323453756230861
17,-0.6463664117764312,-0.31052880859820897,0.0,18,True,True,5,500001.0,14000000.0,0.3232657768644492
18,-0.028395167437173185,0.011028710540422981,0.0,19,False,False,5,16000001.0,50500000.0,0.02033945322422217
19,0.30324631068231445,0.011128102626844494,0.0,20,False,False,5,51000001.0,100000000.0,0.17195697479701486
20,0.031242829501247238,-0.007496950544223946,0.0,21,False,False,5,100500001.0,176500000.0,0.020547056645166286
21,-0.41940184870816033,-0.8979956828378484,0.0,22,False,False,6,5500001.0,28000000.0,0.44932286371869085
22,-0.06611932956722022,-0.08578381387822676,0.0,23,False,False,6,33000001.0,170500000.0,0.04493944149098643
23,0.47286851043002054,0.3547930545826057,0.0,24,True,True,7,1.0,38000000.0,0.24611127327895713
24,-0.1662854775853111,0.04586119086927187,0.0,25,False,False,7,38000001.0,70500000.0,0.11162460736780633
25,-0.0390019557283936,-0.12325263619950988,0.0,26,False,False,7,70500001.0,89500000.0,0.06299542581359173
26,-0.3121312830011458,-0.1792897973758678,0.0,27,False,False,7,92500001.0,109000000.0,0.1566405809351204
27,-0.14895133909723857,-0.18488193563067146,0.0,28,False,False,7,110500001.0,141000000.0,0.09802962078597523
28,-0.19624149795562618,0.014393481276008258,0.0,29,False,False,7,141000001.0,159000000.0,0.11767539554428381
