rownames,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:1000001-1500000,,,,
1:2000001-2500000,,,,
1:3000001-3500000,,,,
1:4500001-5000000,,,,
1:5000001-5500000,,,,
1:6000001-6500000,,,,
1:6500001-7000000,,,,
1:7000001-7500000,,,,
1:7500001-8000000,,,,
1:8000001-8500000,,,,
1:8500001-9000000,,,,
1:9000001-9500000,,,,
1:9500001-10000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:10000001-10500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:10500001-11000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:11000001-11500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:11500001-12000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:12000001-12500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:14000001-14500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:14500001-15000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:15000001-15500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:15500001-16000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:18000001-18500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:18500001-19000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:19000001-19500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:19500001-20000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:20000001-20500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:20500001-21000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:21000001-21500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:21500001-22000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:22000001-22500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:23000001-23500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:23500001-24000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:24500001-25000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:26000001-26500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:26500001-27000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:27000001-27500000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:27500001-28000000,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1:29000001-29500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:29500001-30000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:30000001-30500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:31500001-32000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:32000001-32500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:33000001-33500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:33500001-34000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:34000001-34500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:34500001-35000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:35000001-35500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:35500001-36000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:36000001-36500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:36500001-37000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:37500001-38000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:38500001-39000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:39500001-40000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:40000001-40500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:40500001-41000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:41000001-41500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:41500001-42000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:42000001-42500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:43500001-44000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:44000001-44500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:44500001-45000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:45000001-45500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:45500001-46000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:46000001-46500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:47000001-47500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:47500001-48000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:48000001-48500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:48500001-49000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:49000001-49500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:49500001-50000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:50000001-50500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:50500001-51000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:51000001-51500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:51500001-52000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:52000001-52500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:52500001-53000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:53000001-53500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:53500001-54000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:54000001-54500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:54500001-55000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:55000001-55500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:55500001-56000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:56000001-56500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:56500001-57000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:57000001-57500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:57500001-58000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:58500001-59000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:59000001-59500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:59500001-60000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:60000001-60500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:60500001-61000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:61000001-61500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:61500001-62000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:62000001-62500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:62500001-63000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:63000001-63500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:63500001-64000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:64000001-64500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:64500001-65000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:65000001-65500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:66000001-66500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:67000001-67500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:67500001-68000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:68500001-69000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:69000001-69500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:69500001-70000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:70000001-70500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:70500001-71000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:71000001-71500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:71500001-72000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:72000001-72500000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
1:72500001-73000000,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
