rownames,UH18_12903,UP0056_HHE2.combined
1:1000001-1500000,2.032710188588358,2.2008733142884735
1:2000001-2500000,2.032710188588358,2.2008733142884735
1:3000001-3500000,2.032710188588358,2.2008733142884735
1:4500001-5000000,2.032710188588358,2.2008733142884735
1:5000001-5500000,2.032710188588358,2.2008733142884735
1:6000001-6500000,2.032710188588358,2.2008733142884735
1:6500001-7000000,2.032710188588358,2.2008733142884735
1:7000001-7500000,2.032710188588358,2.2008733142884735
1:7500001-8000000,2.032710188588358,2.2008733142884735
1:8000001-8500000,2.032710188588358,2.2008733142884735
1:8500001-9000000,2.032710188588358,2.2008733142884735
1:9000001-9500000,2.032710188588358,2.2008733142884735
1:9500001-10000000,2.032710188588358,2.2008733142884735
1:10000001-10500000,2.032710188588358,2.2008733142884735
1:10500001-11000000,2.032710188588358,2.2008733142884735
1:11000001-11500000,2.032710188588358,2.2008733142884735
1:11500001-12000000,2.032710188588358,2.2008733142884735
1:12000001-12500000,2.032710188588358,2.2008733142884735
1:14000001-14500000,2.032710188588358,2.2008733142884735
1:14500001-15000000,2.032710188588358,2.2008733142884735
1:15000001-15500000,2.032710188588358,2.2008733142884735
1:15500001-16000000,2.032710188588358,2.2008733142884735
1:18000001-18500000,2.032710188588358,2.2008733142884735
1:18500001-19000000,2.032710188588358,2.2008733142884735
1:19000001-19500000,2.032710188588358,2.2008733142884735
1:19500001-20000000,2.032710188588358,2.2008733142884735
1:20000001-20500000,2.032710188588358,2.2008733142884735
1:20500001-21000000,2.032710188588358,2.2008733142884735
1:21000001-21500000,2.032710188588358,2.2008733142884735
1:21500001-22000000,2.032710188588358,2.2008733142884735
1:22000001-22500000,2.032710188588358,2.2008733142884735
1:23000001-23500000,2.032710188588358,2.2008733142884735
1:23500001-24000000,2.032710188588358,2.2008733142884735
1:24500001-25000000,2.032710188588358,2.2008733142884735
1:26000001-26500000,2.032710188588358,2.2008733142884735
1:26500001-27000000,2.032710188588358,2.2008733142884735
1:27000001-27500000,2.032710188588358,2.2008733142884735
1:27500001-28000000,2.032710188588358,2.2008733142884735
1:29000001-29500000,2.032710188588358,2.2008733142884735
