,UP0056_HHE2.combined,UH18_12903,id,filtered,order,chrom,genStart,genEnd,SD
0,0.1681631257001155,0.0,1,True,True,1,1000001.0,248500000.0,0.11890928652807745
1,0.29578485860872883,0.0,2,True,True,2,25500001.0,49000000.0,0.2091514792945363
2,0.10489121564056703,0.0,3,False,False,2,51500001.0,206000000.0,0.0741692898663454
3,-0.3330529298457545,0.0,4,True,True,2,220000001.0,243000000.0,0.23550398518798052
4,0.2942662702186598,0.0,5,True,True,3,1.0,53500000.0,0.20807767514608735
5,-0.3858305300907663,0.0,6,True,True,3,61500001.0,99500000.0,0.2728233842159811
6,0.07355119508957308,0.0,7,False,False,3,100000001.0,197500000.0,0.05200854881221182
7,-0.3781381004425979,0.0,8,True,True,4,500001.0,47500000.0,0.2673840150479608
8,-0.6023362568221398,0.0,9,True,True,4,53000001.0,76500000.0,0.42591605175345687
9,0.3432949120418729,0.0,10,True,True,4,77500001.0,126000000.0,0.24274616025164772
10,-0.5268288397428091,0.0,11,True,True,4,126000001.0,178000000.0,0.3725242451067812
11,-0.40745489151416914,0.0,12,True,True,5,10500001.0,180500000.0,0.28811411681729804
12,-0.34243290461549614,0.0,13,True,True,6,500001.0,28000000.0,0.24213662895502353
13,-0.1265982480607124,0.0,14,False,False,6,33000001.0,170500000.0,0.08951847969006643
14,0.06683483909816523,0.0,15,False,False,7,1.0,55500000.0,0.047259367945824436
15,-0.030538458767236376,0.0,16,False,False,7,73000001.0,152000000.0,0.021593951281298616
16,-0.030651149156627255,0.0,17,False,False,8,500001.0,41500000.0,0.02167363541981146
17,-0.4037693063707555,0.0,18,True,True,8,41500001.0,58500000.0,0.2855080145697499
18,0.21972290307135234,0.0,19,True,True,8,58500001.0,72500000.0,0.15536755474374772
19,-0.13132686740057053,0.0,20,False,False,8,77500001.0,136000000.0,0.09286211849092997
20,-0.12145332812612186,0.0,21,False,False,9,500001.0,38500000.0,0.0858804719156556
21,0.006397991369379685,0.0,22,False,False,9,71000001.0,140500000.0,0.0045240630832613805
22,-0.39807458355557523,0.0,23,True,True,10,1.0,134000000.0,0.2814812374501582
23,-0.21623277863710233,0.0,24,True,True,11,500001.0,134500000.0,0.1528996640891047
24,-0.06162925144282472,0.0,25,False,False,12,1000001.0,125000000.0,0.04357846161467217
25,0.039845460927609544,0.0,26,False,False,13,28000001.0,115169878.0,0.028174995621416333
26,-0.10890063756922941,0.0,27,False,False,14,20500001.0,106000000.0,0.07700437930074061
27,-0.4499316886288103,0.0,28,True,True,15,38000001.0,101500000.0,0.31814974810014596
28,-0.5913032206731361,0.0,29,True,True,16,500001.0,31500000.0,0.4181145170754201
29,0.0835101203798998,0.0,30,False,False,16,47000001.0,90000000.0,0.05905057241833205
30,-0.0559210642563559,0.0,31,False,False,17,1.0,15000000.0,0.039542163746837916
31,-0.2988473115902819,0.0,32,True,True,17,16000001.0,47000000.0,0.21131696056485744
32,-0.348892859170026,0.0,33,True,True,17,47000001.0,81000000.0,0.24670450662668852
33,0.07503401522856956,0.0,34,False,False,18,500001.0,41000000.0,0.05305706098777621
34,-0.011483724820120722,0.0,35,False,False,18,48500001.0,78077248.0,0.008120219693587628
35,-0.02010687157539115,0.0,36,False,False,20,1.0,25500000.0,0.014217705239406122
36,-0.4992847537244405,0.0,37,True,True,20,30000001.0,39500000.0,0.3530476351016072
37,-0.9570590367645986,0.0,38,True,True,20,42000001.0,62500000.0,0.6767429348921129
38,-0.15357101348468039,0.0,39,True,True,21,15500001.0,48000000.0,0.10859110502870824
39,0.21578958602881304,0.0,40,True,True,22,19000001.0,51000000.0,0.15258627959041157
